GEOID,NAME,State,County,ALAND,AWATER,B01001_001E,B01001_calc_pctGE65E,B01001_calc_pctGE65E_BOX_COX,B03002_calc_pctNHWhiteE,PCT_Pop_Minority,B01001_003E,B01001_027E,Total_Young_People,PCT_Young_People,B17020_calc_pctPovE,B25002_calc_pctVacE,B15002_calc_pctLTHSE,B08201_calc_pctNoVehE,B08201_calc_pctNoVehE_BOX_COX,B28002_calc_pctNoIntE,B18101_calc_pctDE,PCT_HH_Lives_Alone,B16004_calc_pctGE18LEAE,B01001_calc_pctDependE,PCT_HU_Built_Prior_1970,B25002_001E,B25002_calc_pctTotalOwnE,B25002_calc_pctTotalRentE,Mean_Annual_Est_PM2_5_?g_m3,CASTHMA_CrudePrev,Area_SqKm,Pop_Density_PPL_SqKm,Pop_Density_PPL_SqKm_BOX_COX,High_Summer_Mean_LST_F,PCT_TreeCanopy,PCT_TreeCanopy_BOX_COX,PCT_LackingCanopy,PCT_ImperviousSurfaces,WF_HousingDensity_MEAN,WF_HousingDensity_MEAN_BOX_COX,WF_Exp_Type_MEAN,WF_RiskToHome_Mean,WF_RiskToHome_Mean_BOX_COX,WF_HazardPotential_Mean,WF_HazardPotential_Mean_BOX_COX,Cnt_Rd_Inter,Cnt_Rd_Inter_Per_Sqkm,Cnt_Rd_Inter_Per_Sqkm_BOX_COX,count_property,count_fs_risk_100_year00,count_fs_risk_100_year30,pct_fs_risk_100_year00,pct_fs_risk_100_year00_BOX_COX,pct_fs_risk_100_year30,pct_fs_risk_100_year30_BOX_COX,Pct_Tract_Blw_SL_2050,Avg_Vul_2050,MAX_CC,Pct_Riparian,Pct_Riparian_SQUARE_ROOT,Pct_Area_Protect,Pct_Area_Protect_BOX_COX,Pct_Area_Restore,Pct_Area_Restore_BOX_COX,Pct_Tract_Undev,Single_Tract,Coastal_Tract,Mangrove_Length,Spartina_Length,Man_Index,Man_Index_Nat_Rank,Man_Index_Nat_Pctl,Man_Index_Nat_Quan,Man_Index_St_Rank,Man_Index_St_Pctl,Man_Index_Cnty_Rank,Man_Index_Cnty_Pctl,Spart_Index,Spart_Index_Nat_Rank,Spart_Index_Nat_Pctl,Spart_Index_Nat_Quan,Spart_Index_St_Rank,Spart_Index_St_pctl,Spart_Index_Cnty_Rank,Spart_Index_Cnty_pctl,Flood_Buddy_Index,Flood_Buddy_Index_Nat_Rank,Flood_Buddy_Index_Nat_Pctl,Flood_Buddy_Index_Nat_Quan,Flood_Buddy_Index_St_Rank,Flood_Buddy_Index_St_Pctl,Flood_Buddy_Index_Cnty_Rank,Flood_Buddy_Index_Cnty_Pctl,Vul_Pop_Index,Vul_Pop_Index_Nat_Rank,Vul_Pop_Index_Nat_Pctl,Vul_Pop_Index_Nat_Quan,Vul_Pop_Index_St_Rank,Vul_Pop_Index_St_Pctl,Vul_Pop_Index_Cnty_Rank,Vul_Pop_Index_Cnty_Pctl,Trees_Index,Trees_Index_Nat_Rank,Trees_Index_Nat_Pctl,Trees_Index_Nat_Quan,Trees_Index_St_Rank,Trees_Index_St_Pctl,Trees_Index_Cnty_Rank,Trees_Index_Cnty_Pctl,Cooling_Center_Index,Cooling_Center_Index_Nat_Rank,Cooling_Center_Index_Nat_Pctl,Cooling_Center_Index_Nat_Quan,Cooling_Center_Index_St_Rank,Cooling_Center_Index_St_Pctl,Cooling_Center_Index_Cnty_Rank,Cooling_Center_Index_Cnty_Pctl,Heat_Buddy_Index,Heat_Buddy_Index_Nat_Rank,Heat_Buddy_Index_Nat_Pctl,Heat_Buddy_Index_Nat_Quan,Heat_Buddy_Index_St_Rank,Heat_Buddy_Index_St_Pctl,Heat_Buddy_Index_Cnty_Rank,Heat_Buddy_Index_Cnty_Pctl,Home_Hardening_Index,Home_Hardening_Index_Nat_Rank,Home_Hardening_Index_Nat_Pctl,Home_Hardening_Index_Nat_Quan,Home_Hardening_Index_St_Rank,Home_Hardening_Index_St_Pctl,Home_Hardening_Index_Cnty_Rank,Home_Hardening_Index_Cnty_Pctl,Air_Filtration_Index,Air_Filtration_Index_Nat_Rank,Air_Filtration_Index_Nat_Pctl,Air_Filtration_Index_Nat_Quan,Air_Filtration_Index_St_Rank,Air_Filtration_Index_St_Pctl,Air_Filtration_Index_Cnty_Rank,Air_Filtration_Index_Cnty_Pctl,Improved_Egress_Index,Improved_Egress_Index_Nat_Rank,Improved_Egress_Index_Nat_Pctl,Improved_Egress_Index_Nat_Quan,Improved_Egress_Index_St_Rank,Improved_Egress_Index_St_Pctl,Improved_Egress_Index_Cnty_Rank,Improved_Egress_Index_Cnty_Pctl,In_Flood_Aware_Index,In_Flood_Aware_Index_Nat_Rank,In_Flood_Aware_Index_Nat_Pctl,In_Flood_Aware_Index_Nat_Quan,In_Flood_Aware_Index_St_Rank,In_Flood_Aware_Index_St_Pctl,In_Flood_Aware_Index_Cnty_Rank,In_Flood_Aware_Index_Cnty_Pctl,In_Flood_Egress_Index,In_Flood_Egress_Index_Nat_Rank,In_Flood_Egress_Index_Nat_Pctl,In_Flood_Egress_Index_Nat_Quan,In_Flood_Egress_Index_St_Rank,In_Flood_Egress_Index_St_Pctl,In_Flood_Egress_Index_Cnty_Rank,In_Flood_Egress_Index_Cnty_Pctl,Pres_Open_Space_Index,Pres_Open_Space_Index_Nat_Rank,Pres_Open_Space_Index_Nat_Pctl,Pres_Open_Space_Index_Nat_Quan,Pres_Open_Space_Index_St_Rank,Pres_Open_Space_Index_St_Pctl,Pres_Open_Space_Index_Cnty_Rank,Pres_Open_Space_Index_Cnty_Pctl,Reduce_Imp_Surf_Index,Reduce_Imp_Surf_Index_Nat_Rank,Reduce_Imp_Surf_Index_Nat_Pctl,Reduce_Imp_Surf_Index_Nat_Quan,Reduce_Imp_Surf_Index_St_Rank,Reduce_Imp_Surf_Index_St_Pctl,Reduce_Imp_Surf_Index_Cnty_Rank,Reduce_Imp_Surf_Index_Cnty_Pctl,Restore_Builtup_Index,Restore_Builtup_Index_Nat_Rank,Restore_Builtup_Index_Nat_Pctl,Restore_Builtup_Index_Nat_Quan,Restore_Builtup_Index_St_Rank,Restore_Builtup_Index_St_Pctl,Restore_Builtup_Index_Cnty_Rank,Restore_Builtup_Index_Cnty_Pctl,intervention_score,Shape__Area,Shape__Length
6037277000,Census Tract 2770,California,Los Angeles County,2298914,0,5566,19.3,7.023157419,66.8,33.2,147,202,349,6.270212001,2,3.4,0.5,2.2,0.880344899,10.8,7,20.2,6,39.1,83.7,2282,70.2,26.5,11.5308838,6.9,2.298916185,2421,16.22529137,104.7878952,4.017227878,1.703092385,95.98277212,57.29761439,938.5152702,12.10787693,0.066170713,0.000137448,-7.76975943,2.342331768,0.908753991,30,13.0496273,3.13786243,2030,29,32,1.4,0.353348302,1.6,0.502406087,,0,0,0,0,23.65574418,73.91894797,76.34425582,8.576127818,23.6557446,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.09090737,59217,81.96553395,5,2990,37.20756595,378,16.13316261,3.334678753,48907,67.69465015,3,4051,50.41065207,901,38.45497226,2.621396263,45861,63.47844141,2,3631,45.18417123,905,38.62569356,1.942720488,14939,20.67686345,1,3102,38.60129418,1534,65.47161758,3.589776084,55869,77.3313032,3,6166,76.72971628,1459,62.27059326,2.201597451,17737,24.54979583,1,3292,40.96565455,1636,69.82501067,2.210223095,24329,33.67430272,2,1272,15.82877053,140,5.975245412,1.967362532,11181,15.47511939,1,2054,25.55998009,864,36.87580026,1.279521232,3280,4.538722403,1,935,11.63514186,389,16.60264618,3.288532309,46882,64.89168801,2,2814,35.0174216,343,14.63935126,2.370307127,10983,15.20105198,1,1012,12.59333001,199,8.49338455,0,3353255.046,8041.114174
6037132900,Census Tract 1329,California,Los Angeles County,1184831,9256,3885,17.1,6.478551128,58.5,41.5,138,89,227,5.842985843,6.6,2.5,12.8,9.5,3.116039381,8.3,11,22.3,27,35,58.6,1378,56.2,41.2,10.4066753,8.1,1.194089807,3254,17.36407332,117.1668,4.455849057,1.858811041,95.54415094,52.54600302,1109.358974,12.5919007,0.073115004,0.000447159,-6.860710201,11.17155756,2.916399059,15,12.5618696,3.081887872,1041,199,234,19.1000004,4.651836663,22.5,4.973814882,,0,1,33.29144676,5.769874068,30.99776922,110.8760132,69.00223078,8.232323071,30.9977684,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.385800396,65296,90.37995709,5,4741,58.99701344,829,35.3819889,4.048482385,68775,95.19551526,3,7299,90.82877053,2115,90.26888604,2.854486506,61841,85.59761921,3,6192,77.05326033,1812,77.33674776,2.145645694,18296,25.3235518,1,3549,44.16376307,1645,70.20913359,3.386032685,49737,68.84351858,3,5194,64.63414634,876,37.38796415,2.339052148,20432,28.2801578,1,3627,45.13439522,1722,73.49551857,4.224332902,69157,95.72427158,3,7278,90.56744649,1909,81.47673922,2.913142298,34647,47.95625995,2,5595,69.62419114,2025,86.42765685,3.632649292,52490,72.65416292,3,7274,90.51767048,2265,96.6709347,4.309751888,67659,93.65077168,3,6623,82.41662519,1625,69.3555271,4.67479996,71927,99.55844695,3,7869,97.92185167,2299,98.12206573,4,1745854.283,6704.800265
6037212203,Census Tract 2122.03,California,Los Angeles County,106316,0,2914,18.7,6.877731199,5.3,94.7,28,82,110,3.77487989,40,9.8,52.9,41.9,6.516144021,33.1,11,52.7,66,30.5,54.8,1733,0,90.2,11.9870052,8.1,0.106315577,27409,27.50238663,113.5668,0.325,-0.963062063,99.675,92.21666667,7827.067797,19.27030937,0,0,-11.24513872,0,-5.766820535,10,94.0595932,6.52892978,57,0,2,0,-3.401316077,3.5,1.501192681,,0,5,0,0,5.47008547,7.759549844,94.52991453,9.336115272,5.4700856,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.831167971,71926,99.55706277,5,7992,99.45246391,2322,99.10371319,4.482300007,71743,99.30375805,3,7895,98.24539572,2294,97.90866411,3.315283012,70957,98.21579348,3,7774,96.73967148,2307,98.46350832,1.020296218,965,1.334348398,1,50,0.6222001,18,0.768245839,3.396849251,50088,69.32936535,3,5241,65.21901444,906,38.66837388,1.049105473,1055,1.458924493,1,51,0.634644102,17,0.725565514,3.619267891,63336,87.66696657,3,6368,79.24340468,1468,62.65471618,1.049097099,593,0.819433871,1,22,0.273768044,5,0.213401622,1.018766508,344,0.474773341,1,53,0.659532106,34,1.451131029,3.671461736,58018,80.30590352,3,4494,55.92334495,886,37.81476739,2.340257688,9782,13.53865319,1,854,10.6271777,136,5.804524114,3,154809.6815,1659.140671
6037294301,Census Tract 2943.01,California,Los Angeles County,713041,0,2471,18,6.705198204,5.6,94.4,56,75,131,5.301497369,3.9,0,27.2,4.2,1.759050454,12.5,9.7,13.1,27.3,41.2,88.4,688,73.3,26.7,10.8783598,7.3,0.713041571,3465,17.61348129,109.2405243,0.794936709,-0.222214923,99.20506329,65.03909206,1240.855696,12.92312083,0.059354839,6.42824E-05,-8.334468506,0.218434343,-1.357951095,22,30.8537407,4.491947385,608,87,102,14.3000002,4.001453438,16.7999992,4.301870334,,0,0,0,0,20.27669326,58.62420174,79.72330674,8.726450915,20.2766933,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.516214196,67905,93.99127967,5,5846,72.74763564,1190,50.789586,3.60396442,59403,82.22299121,3,5787,72.01343952,1549,66.11182245,2.566563417,40684,56.31254758,2,2902,36.11249378,707,30.17498933,1.734545623,11606,16.06339539,1,2601,32.36684918,1394,59.49637217,3.648928001,57490,79.5750571,3,6439,80.12692882,1630,69.56892872,1.615083451,8084,11.18831753,1,1748,21.75211548,1096,46.77763551,3.211926324,54002,74.74704132,3,4828,60.07964161,943,40.24754588,2.468699906,23081,31.94684753,1,3937,48.99203584,1543,65.8557405,2.1522747,15349,21.24437677,1,3350,41.68740667,1279,54.58813487,4.386013966,68423,94.70828431,3,6844,85.16674963,1703,72.6845924,3.30076723,52385,72.50882414,3,4881,60.73917372,1377,58.77080666,0,1036021.808,4285.297786
6037134800,Census Tract 1348,California,Los Angeles County,1859220,15191,6399,12.5,5.217547737,31.9,68.1,113,119,232,3.625566495,13.1,4.4,17,3.5,1.495299038,4.6,8.2,23.2,28.5,31.9,83.8,1970,66.8,28.8,10.1736984,7.5,1.874410292,3414,17.55437816,119.582634,1.528084494,0.450439228,98.47191551,57.84261036,1264.420345,12.9793066,0.006721075,2.54041E-05,-8.99725274,0.351585014,-0.966369574,19,10.1365213,2.772610768,1621,218,280,13.3999996,3.862699292,17.2999992,4.366866919,,0,0,25.76582346,5.076004675,18.15893099,49.64368704,81.84106901,8.818356645,18.1589317,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.586616073,69188,95.76718112,5,6478,80.6122449,1458,62.22791293,3.218373964,43705,60.49415184,2,3305,41.12742658,682,29.10798122,2.81768578,60048,83.11578656,3,5848,72.77252364,1671,71.31882202,1.528718316,8312,11.50391031,1,1920,23.89248382,1129,48.18608621,3.567916822,55277,76.51186933,3,6076,75.6097561,1398,59.66709347,2.012396408,14264,19.74254274,1,2801,34.85564958,1485,63.38028169,3.179537057,53204,73.64246661,3,4707,58.57391737,906,38.66837388,2.814670923,32113,44.44875078,2,5278,65.67944251,1958,83.56807512,3.399601027,46032,63.715136,2,6792,84.51966152,2187,93.3418694,4.265200542,67165,92.96698733,3,6486,80.71179691,1577,67.30687153,4.599704586,71728,99.28299536,3,7785,96.8765555,2273,97.01237729,1,2737848.79,6848.231055
6037214000,Census Tract 2140,California,Los Angeles County,1011538,0,4277,15.8,6.140775087,85.9,14.1,227,153,380,8.884732289,2.5,3.5,5.8,9.8,3.173986583,15.2,8,28.5,12.1,50,91.2,1413,66.3,30.2,11.6936283,7.5,1.011535269,4228,18.42131574,110.0457916,0.726222222,-0.305877125,99.27377778,67.66044444,1572.122558,13.64177229,0,0,-11.24513872,0,-5.766820535,26,25.7035027,4.189676749,1078,40,47,3.7,1.589535242,4.4000001,1.837100794,,0,0,0,0,9.82773059,19.49946376,90.17226941,9.164234632,9.8277302,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.583890839,69150,95.71458232,5,6459,80.37580886,1446,61.71574904,3.850412606,65769,91.03467368,3,6796,84.56943753,1942,82.88518993,2.791230757,58520,81.0007613,3,5594,69.61174714,1576,67.26419121,1.16177823,4106,5.682054121,1,827,10.29118965,577,24.62654716,3.722476881,59251,82.01259603,3,6730,83.7481334,1799,76.78190354,1.426030148,5930,8.206796318,1,1268,15.77899452,854,36.44899701,2.548355872,38296,53.00712852,2,2707,33.68591339,468,19.97439181,1.764728437,7588,10.50176483,1,1438,17.89447486,650,27.74221084,1.385526146,4456,6.166516714,1,1253,15.59233449,527,22.49253094,3.749175363,59823,82.80434632,3,4843,60.26630164,1006,42.93640632,2.659267204,21791,30.16125683,1,2306,28.69586859,653,27.87025181,0,1476212.301,4921.792654
6037270200,Census Tract 2702,California,Los Angeles County,758090,6115,3226,14.1,5.678172003,26.4,73.6,42,95,137,4.246745195,10.5,5.9,21.8,13.1,3.739475143,11.2,5.5,34.9,15.9,28.1,77.7,1350,32.7,61.5,11.6706667,7.6,0.758097419,4255,18.44760824,108.451,2.087781732,0.818177837,97.91221827,77.32977461,1553.258294,13.60447435,0,0,-11.24513872,0,-5.766820535,31,40.8918419,4.974787812,849,428,443,50.4000015,7.274587193,52.2000008,7.247878213,,0,0,0.751879699,0.86710997,5.830670927,8.600185744,94.16932907,9.32210999,5.8306708,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.428211849,66141,91.54958821,5,5066,63.04131409,924,39.43661972,3.783544914,64280,88.97363139,3,6571,81.76953708,1859,79.342723,2.829164896,60609,83.89231089,3,5963,74.20358387,1720,73.41015792,1.164403059,4133,5.71942695,1,835,10.39074166,582,24.83994878,3.575341433,55457,76.76102152,3,6105,75.97063216,1416,60.43533931,1.300856437,4750,6.573465292,1,972,12.09556994,671,28.63849765,3.507040943,61151,84.64253582,3,6064,75.46042807,1326,56.59411012,2.59080515,26311,36.41774517,2,4456,55.45047287,1722,73.49551857,2.70040082,27858,38.55906983,2,5136,63.91239423,1869,79.76952625,4.778787865,71502,98.97017095,3,7900,98.30761573,2229,95.13444302,4.048653938,68619,94.97958336,3,7097,88.31508213,2096,89.45795988,1,1096270.783,6244.024799
6037127520,Census Tract 1275.20,California,Los Angeles County,363717,0,4870,9.3,4.201506775,10,90,178,120,298,6.119096509,30.3,2.1,47.3,22.1,4.879500406,22.3,8.9,22.9,57.9,37.3,39.4,1531,6,91.9,10.421567,9,0.363716966,13390,23.67782724,119.2036819,0.370646766,-0.865574804,99.62935323,83.45,3804.281174,16.56853175,0,0,-11.24513872,0,-5.766820535,8,21.9951248,3.938308054,86,47,51,54.7000008,7.531334763,59.2999992,7.641771626,,0,5,0,0,5.08897389,6.900070027,94.91102611,9.350876374,5.088974,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.860880591,72038,99.7120908,5,8027,99.88800398,2340,99.87195903,3.739798282,63239,87.53270122,3,6407,79.72872076,1797,76.69654289,2.725874471,54478,75.40591044,3,4939,61.46092583,1344,57.36235595,1.05488112,2287,3.164232819,1,271,3.37232454,155,6.615450277,3.388765093,49829,68.97086304,3,5207,64.79591837,883,37.68672642,1.37092269,5416,7.495328396,1,1145,14.24838228,786,33.54673496,4.902273764,72197,99.93217524,3,8022,99.82578397,2330,99.44515578,2.665679612,28276,39.13765659,2,4740,58.98456944,1815,77.46478873,2.313101461,18835,26.0696242,1,4032,50.17421603,1558,66.49594537,4.920630121,72112,99.81452004,3,8026,99.87555998,2335,99.65855741,3.662583556,63399,87.75416984,3,6339,78.88252862,1901,81.13529663,3,535163.7873,2946.676229
6037208502,Census Tract 2085.02,California,Los Angeles County,261043,0,4364,9.4,4.235603003,4.2,95.8,128,192,320,7.332722273,23.6,5.9,44.3,28.6,5.504759364,26.2,10.9,22,48.5,34.6,59.1,1408,1,93.1,12.0131302,8.2,0.261043216,16718,24.81358546,113.2826,0.822525597,-0.190083783,99.1774744,79.24315068,5121.337931,17.64574726,0,0,-11.24513872,0,-5.766820535,21,80.4464493,6.222161637,204,47,51,23,5.098921037,25,5.229991882,,0,5,0,0,5.355900765,7.498866819,94.64409923,9.340542294,5.3559008,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.747310251,71353,98.7639283,5,7722,96.09258337,2151,91.80537772,3.723331852,62831,86.96795626,3,6336,78.84519662,1768,75.45881349,2.598386025,43695,60.48031006,2,3335,41.50074664,815,34.78446436,1.036599737,1663,2.300505225,1,143,1.779492285,68,2.902262057,3.476164453,52592,72.79534916,3,5614,69.86062718,1122,47.88732394,1.079706364,1842,2.548273237,1,135,1.679940269,65,2.774221084,4.801773964,71998,99.65672365,3,7966,99.12891986,2281,97.35381989,2.26780278,17603,24.36431587,1,3095,38.51418616,1195,51.00298762,2.205877464,16411,22.7143747,1,3567,44.3877551,1352,57.70379855,4.799146751,71617,99.12935151,3,7938,98.7804878,2261,96.5002134,3.55079663,60721,84.04733892,3,5927,73.7555998,1729,73.79428084,3,379603.8617,2494.359203
6037273502,Census Tract 2735.02,California,Los Angeles County,593097,193545,2861,9.8,4.370273116,76.7,23.3,44,71,115,4.019573576,13.6,14.9,2.9,17.6,4.362996957,5.7,6.9,56.5,2.5,19.2,61.6,1952,18,67.1,10.9699898,7.4,0.593158062,4823,18.97097366,101.4484253,0.831818182,-0.179435535,99.16818182,76.10909091,1650.579268,13.7929416,0,0,-11.24513872,0,-5.766820535,29,48.8908463,5.29185675,822,551,588,67,8.194143742,71.5,8.245748741,0.8442718,0.1992,0,9.207419899,3.034373065,17.65486274,47.57846633,82.34513726,8.839981144,17.6548634,0,1,0,827.9324163,,,,,,,,,1.336001621,98,2.86643026,1,17,4.761904762,6,15,2.996895374,3831,50.17686362,2,366,56.48148148,46,58.97435897,3.397702407,5138,67.29988209,3,467,72.06790123,58,74.35897436,4.375940348,65090,90.09481625,5,4662,58.01393728,803,34.27230047,3.380278095,50924,70.48653886,3,4345,54.06918865,1003,42.80836534,2.94545205,65314,90.40487231,3,6793,84.53210553,2014,85.95817328,1.151186488,3990,5.521489376,1,804,10.0049776,562,23.9863423,3.34221994,48331,66.89736314,3,4984,62.02090592,785,33.50405463,1.255056673,4322,5.98103675,1,863,10.73917372,589,25.13871105,3.543916309,61881,85.65298637,3,6163,76.69238427,1371,58.51472471,2.56338321,25574,35.39760537,2,4333,53.91986063,1678,71.61758429,3.412013521,46375,64.18990934,2,6824,84.91786959,2193,93.59795134,4.808302666,71666,99.19717628,3,7951,98.94225983,2272,96.96969697,4.619160516,71788,99.36604609,3,7809,97.17521155,2280,97.31113956,2,862437.362,4007.475309
6037128702,Census Tract 1287.02,California,Los Angeles County,1642311,18542,5810,17.4,6.554724494,56.6,43.4,40,133,173,2.977624785,7.8,6.6,6.5,5.5,2.174186785,4.2,9.7,36.7,5.8,30.6,54.9,2923,33.6,59.9,10.9203701,7.7,1.660851242,3498,17.65134077,113.6615753,4.131023281,1.744620051,95.86897672,54.53030303,1247.280065,12.93852757,0.133731004,0.000725772,-6.476871848,34.54229935,4.694838824,27,16.2567234,3.467117322,953,350,490,36.7000008,6.335173019,51.4000015,7.201125009,,0,0,2.606235705,1.614384002,33.76448298,126.0174531,66.23551702,8.095979156,33.7644844,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.377586843,65120,90.13634162,5,4672,58.1383773,806,34.40034144,3.770027696,63968,88.5417676,3,6531,81.271777,1848,78.87323944,3.028854889,67537,93.48190186,3,7227,89.93280239,2153,91.89073837,2.285057418,20613,28.53069417,1,3812,47.43653559,1712,73.06871532,3.293074289,46659,64.58301613,2,4775,59.42010951,689,29.40674349,2.402950207,21744,30.09620043,1,3768,46.8889995,1756,74.94664959,3.438334745,59611,82.51090041,3,5787,72.01343952,1218,51.98463508,2.905067238,34434,47.66142986,2,5560,69.18865107,2020,86.21425523,2.950682502,33957,47.00117655,2,5750,71.55301145,2002,85.44600939,4.477963925,69308,95.93328258,3,7127,88.68840219,1823,77.80623133,3.945466006,67541,93.48743858,3,6891,85.75161772,2039,87.02518139,0,2431788.163,6273.937565
6037211000,Census Tract 2110,California,Los Angeles County,2656761,0,5124,14.1,5.678172003,54,46,134,166,300,5.854800937,8.8,14.7,2.2,3.3,1.412959425,1.7,4.6,25.9,21.3,36.8,59,2284,53.1,32.2,11.7900963,6.8,2.656765692,1929,15.38843356,106.9826355,6.786246612,2.539908628,93.21375339,48.93968146,747.7099288,11.46965984,0.089769648,0.000784315,-6.414829378,3.872924432,1.503669247,60,22.5838509,3.980508157,1503,74,75,4.9000001,2.016337383,5,2.03434823,,0,0,0,0,40.60905612,166.0860613,59.39094388,7.740252473,40.6090546,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.94206039,56062,77.59844972,4,2311,28.7580886,257,10.96884336,3.121276857,39331,54.43975362,2,2761,34.3578895,517,22.0657277,2.652617621,48585,67.24894456,3,4055,50.46042807,1053,44.94238156,2.437112687,23276,32.21676241,1,4114,51.19462419,1776,75.80025608,3.300046639,46903,64.92075576,2,4799,59.71876556,702,29.96158771,2.155779219,16892,23.38016472,1,3176,39.52215032,1595,68.07511737,2.437245795,34897,48.30230466,2,2307,28.70831259,376,16.04780196,2.18195215,15596,21.58626895,1,2774,34.51966152,1077,45.96670935,1.695302832,8339,11.54128313,1,1993,24.80089597,804,34.31498079,3.395649079,50108,69.35704893,3,3226,40.14435042,434,18.52326078,2.578715137,18480,25.57824071,1,1964,24.44001991,549,23.43149808,0,3886028.009,9264.464046
6037191203,Census Tract 1912.03,California,Los Angeles County,205208,0,2383,16.4,6.298271187,21.7,78.3,31,14,45,1.888375997,33.7,9.8,25.8,33.5,5.910752967,25.3,10.2,42.8,48.6,29.4,66,1293,4.1,86.1,11.799716,8.6,0.205208018,11613,22.9715357,112.6195,0.930131004,-0.071693248,99.069869,82.60792952,4593.442982,17.24585507,0,0,-11.24513872,0,-5.766820535,16,77.9696655,6.161663167,207,22,22,10.6000004,3.38343456,10.6000004,3.348372027,,0,5,0,0,2.918632075,2.637523238,97.08136792,9.434139947,2.918632,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.70870277,70957,98.21579348,5,7484,93.1309109,2004,85.53137004,4.259048501,70696,97.8545228,3,7678,95.54504729,2231,95.21980367,3.088755997,68660,95.03633469,3,7390,91.96117471,2200,93.89671362,1.042274544,1874,2.59256696,1,181,2.25236436,89,3.798548869,3.659179241,57769,79.96124299,3,6490,80.76157292,1663,70.97737943,1.089531153,2040,2.822340646,1,163,2.028372325,83,3.542466923,4.487523617,70726,97.89604817,3,7641,95.08461921,2068,88.2629108,1.981849595,11480,15.88898886,1,2107,26.2195122,881,37.60136577,1.898502004,11204,15.5069555,1,2559,31.8442011,995,42.46692275,4.501802804,69519,96.22534431,3,7199,89.58437033,1853,79.08664106,3.261648391,50805,70.32182158,3,4718,58.71080139,1331,56.80751174,4,299567.3413,2206.298529
6037191500,Census Tract 1915,California,Los Angeles County,641384,0,5931,13.5,5.508542745,15,85,93,173,266,4.484909796,19.1,6.2,28.7,13,3.723958005,16.1,7.6,24.8,47.4,29.4,67.6,1907,21.1,72.7,11.842967,7.5,0.641384475,9247,21.87633253,113.5352631,0.967787115,-0.032591236,99.03221289,79.0140056,3397.043539,16.17102211,0,0,-11.24513872,0,-5.766820535,37,57.687706,5.593213619,477,79,91,16.6000004,4.329812045,19.1000004,4.590224379,,0,5,0,0,5.037735849,6.7868498,94.96226415,9.352857679,5.0377359,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.703422629,70893,98.12720604,5,7443,92.62070682,1973,84.20827998,3.831545217,65355,90.46162364,3,6741,83.88501742,1918,81.86086214,2.748931077,55984,77.49048377,3,5172,64.3603783,1424,60.7767819,1.063199242,2536,3.508893349,1,337,4.193628671,217,9.261630388,3.450498664,51808,71.71015295,3,5495,68.37979094,1045,44.60093897,1.143696761,2918,4.037649664,1,403,5.014932802,257,10.96884336,4.677373119,71571,99.06567929,3,7838,97.53608761,2179,93.0004268,2.23910583,16881,23.36493875,1,2980,37.08312593,1156,49.33845497,2.111749386,14622,20.23807876,1,3220,40.06968641,1226,52.32607768,4.673848416,70860,98.08152813,3,7696,95.76903932,2105,89.8420828,3.45814576,57980,80.25330473,3,5523,68.728223,1575,67.22151088,3,937995.3344,3806.005226
